event_id	event_date	parish	event	unrelated_memo	marriage_authorisation	licence_issuer	memo	marriage_location	reg_order_num
438	6/12/1546 00:00:00	All Hallows Honey Lane	Baptism						334000
439	5/1/1546 00:00:00	All Hallows Honey Lane	Baptism						335000
440	4/2/1546 00:00:00	All Hallows Honey Lane	Baptism						336000
441	25/4/1547 00:00:00	All Hallows Honey Lane	Baptism						337000
442	12/9/1547 00:00:00	All Hallows Honey Lane	Baptism						338000
443	30/9/1547 00:00:00	All Hallows Honey Lane	Baptism						339000
444	14/11/1547 00:00:00	All Hallows Honey Lane	Baptism						340000
445	26/11/1547 00:00:00	All Hallows Honey Lane	Baptism						341000
446	28/11/1547 00:00:00	All Hallows Honey Lane	Baptism						342000
447	12/1/1547 00:00:00	All Hallows Honey Lane	Baptism						343000
448	8/3/1547 00:00:00	All Hallows Honey Lane	Baptism						344000
449	6/4/1548 00:00:00	All Hallows Honey Lane	Baptism						345000
450	8/5/1548 00:00:00	All Hallows Honey Lane	Baptism						346000
451	18/8/1548 00:00:00	All Hallows Honey Lane	Baptism						347000
452	18/9/1548 00:00:00	All Hallows Honey Lane	Baptism						348000
453	5/12/1548 00:00:00	All Hallows Honey Lane	Baptism						349000
454	19/1/1548 00:00:00	All Hallows Honey Lane	Baptism						350000
455	2/2/1548 00:00:00	All Hallows Honey Lane	Baptism						351000
456	14/4/1549 00:00:00	All Hallows Honey Lane	Baptism						352000
457	21/4/1549 00:00:00	All Hallows Honey Lane	Baptism						353000
458	8/6/1549 00:00:00	All Hallows Honey Lane	Baptism						354000
459	20/6/1549 00:00:00	All Hallows Honey Lane	Baptism						355000
460	3/11/1549 00:00:00	All Hallows Honey Lane	Baptism						356000
461	3/11/1549 00:00:00	All Hallows Honey Lane	Baptism						357000
462	25/1/1549 00:00:00	All Hallows Honey Lane	Baptism						358000
463	30/3/1550 00:00:00	All Hallows Honey Lane	Baptism						359000
464	13/4/1550 00:00:00	All Hallows Honey Lane	Baptism						360000
