doc_id	tithe_pid	tithe-id	prop_type	global_prop_id	location	rent_mod_valued	tithe_assessment	tithe_paid	tithe_notes
355	9873	399			Soper Lane	£70			
355	9874	400			Pancras Lane	£8			
355	9875	401			Pancras Lane	£8			
355	9876	402			Pancras Lane	£15			
355	9877	403			Pancras Lane	£5			
355	9878	404			Pancras Lane	£2			
355	9879	405			Pancras Lane	£6			
355	9880	406			Pancras Lane	£30			
355	9881	407			Pancras Lane	£40			
355	9882	408			Pancras Lane	£30			
355	9883	409			Pancras Lane	£4			
356	9884	410				£24			
356	9885	411				£22			
356	9886	412				£22			
356	9887	413				£20			with a great wine cellar
356	9888	414				£9			
356	9889	415				£10			
356	9890	416				£9			
356	9891	417				£7			
356	9892	418				£37			
356	9893	419				£14			
356	9894	420				£14			
356	9895	421				£20			
356	9896	422				£8			
356	9897	423				£9			
356	9898	424				£4			
356	9899	425				£12			
356	9900	426				£12			
356	9901	427				£23			
356	9902	428				£20			
356	9903	429	warehouse			£24			with a great warehouse
356	9904	430				£13			
356	9905	431	warehouse			£24			with a great warehouse
356	9906	432				£20			
356	9907	433				£13			
356	9908	434				£12			
356	9909	435				£28			
356	9910	436				£12			
356	9911	437	house			£35			2 houses
356	9912	438				£14			
356	9913	439				£12			
356	9914	440				£13			
356	9915	441				£13			
356	9916	442				£12			
356	9917	443				£20			
356	9918	444				£10			
356	9919	445				£6			
356	9920	446				£4			
356	9921	447	house			£8			a part of his house
356	9922	448				£20			part of the mercers chapel in which their clerk dwelleth
357	9923	449				£24			
357	9924	450				£10			
357	9925	451				£24			
357	9926	452				£14			
357	9927	453				£24			
357	9928	454				£24			
357	9929	455				£24			
357	9930	456	house and shop			£8			house and shop
357	9931	457				£16			
357	9932	458				£10			
357	9933	459				£10			
357	9934	460				£10			
357	9935	461				£12			
357	9936	462				£30			
357	9937	463				£16			
357	9938	464				£12			
357	9939	465				£14			
357	9940	466	house and shop			£12			house and shop
357	9941	467				£8			
357	9942	468				£8			
357	9943	469				£8			
357	9944	470				£24			
357	9945	471				£24			
357	9946	472				£24			
357	9947	473				£28			
357	9948	474				£12			
357	9949	475				£12			
357	9950	476				£24			
357	9951	477				£24			
357	9952	478				£20			
357	9953	479				£12			
357	9954	480				£14			
357	9955	481				£24			
357	9956	482				£8			
357	9957	483				£24			
357	9958	484				£24			
357	9959	485				£20			
357	9960	486				£24			
357	9961	487				£24			
357	9962	488				£24			
357	9963	489				£12			
357	9964	490				£3			
357	9965	491				-			no amount given for rent
357	9966	492				£8			
357	9967	493				£8			
357	9968	494				£12			shopkeepers but not inhabitants
357	9969	495				£12			shopkeepers but not inhabitants
357	9970	496				£16			shopkeepers but not inhabitants
357	9971	497				£16			shopkeepers but not inhabitants; Hide and his two partners
358	9973	498			South Cheape	£40			
358	9974	499			South Cheape	£40			
358	9975	500			South Cheape	£50			
358	9976	501			South Cheape	£40			
358	9977	502			South Cheape	£40			
358	9978	503			South Cheape	£30			
358	9979	504			South Cheape	£30			
358	9980	505			South Cheape	£60			
358	9981	506	shop		South Cheape	10-Oct			for a shop; amount for rent is sic
358	9982	507			St Lawrence Lane	£20			
358	9983	508			St Lawrence Lane	£25			
358	9984	509			St Lawrence Lane	£30			
358	9985	510			St Lawrence Lane	£16			
358	9986	511			St Lawrence Lane	£20			
358	9987	512			St Lawrence Lane	£20			
358	9988	513			St Lawrence Lane	£8			
358	9989	514			St Lawrence Lane	£6			
358	9990	515			North Cheape	£30			
358	9991	516			North Cheape	£40			
358	9992	517			North Cheape	£40			
358	9993	518			North Cheape	£50			
358	9994	519			North Cheape	£20			
358	9995	520			North Cheape	£30			
358	9996	521			North Cheape	£50			
358	9997	522			North Cheape	£30			
358	9998	523			North Cheape	£50			
358	9999	524			North Cheape	£40			
358	10000	525			North Cheape	£30			
358	10001	526	shop		North Cheape	£17			for a shop
358	10002	527	shop		North Cheape	£6			for a shop
358	10003	528	shop		North Cheape	£6			for a shop
358	10004	529	shop		North Cheape	£8			for a shop
358	10005	530	shop		North Cheape	£14			for a shop
358	10006	531			North Cheape	£8			
358	10007	532	shop		North Cheape	£10			shop
358	10008	533			North Cheape	£20			
358	10009	534			North Cheape	£20			
358	10010	535	shop		North Cheape	£20			shop
358	10011	536			North Cheape	£40			
358	10012	537			North Cheape	£40			
358	10013	538			North Cheape	£30			
358	10014	539	shop		North Cheape	£16			shop
358	10015	540	shop		North Cheape	£12			shop
358	10015	541			Bow Church Yard	£30			
358	10016	542			Bow Church Yard	£30			
358	10017	543			Bow Church Yard	£30			
358	10018	544			Bow Church Yard	£14
358	10019	545			Bow Church Yard	£20
358	10020	546			Bow Church Yard	£20
358	10021	547			Bow Church Yard	£20
358	10022	548			Bow Church Yard	£30
358	10023	549			Bow Lane East Side	£16
358	10024	550			Bow Lane East Side	£25
358	10025	551			Bow Lane East Side	£30
358	10026	552			Bow Lane East Side	£14
358	10027	553			Bow Lane East Side	£14
358	10028	554			Bow Lane East Side	£25
358	10029	555			Bow Lane East Side	£18
358	10030	556			Bow Lane East Side	£10
358	10031	557			Bow Lane East Side	£16
358	10032	558			Bow Lane East Side	£14
358	10033	559			Bow Lane East Side	£16
358	10034	560			Bow Lane West Side	£20
358	10035	561			Bow Lane West Side	£16
358	10036	562			Bow Lane West Side	£20
358	10037	563			Bow Lane West Side	£10
358	10038	564			Bow Lane West Side	£12
358	10039	565			Bow Lane West Side	£10
358	10040	566			Bow Lane West Side	£5
358	10041	567			Bow Lane West Side	£10
358	10042	568			Bow Lane West Side	£14
358	10043	569			Bow Lane West Side	£16
358	10044	570			Bow Lane West Side	£6
358	10045	571			Bow Lane West Side	£8
358	10046	572			Bow Lane West Side	£12
358	10047	573			Bow Lane West Side	£16
358	10048	574			Bow Lane West Side	£10
358	10049	575			Bow Lane West Side	£8
358	10050	576			Bow Lane West Side	£16
358	10051	577			Bow Lane West Side	£14
358	10052	578			Bow Lane West Side	£14
358	10053	579			Bow Lane West Side	£16
358	10054	580			Bow Lane West Side	£8
358	10055	581			Bow Lane West Side	£14
358	10056	582			Bow Lane West Side	£20
358	10057	583			Goose Lane	£8
358	10058	584			Goose Lane	£10
358	10059	585			Goose Lane	£6
358	10060	586			Goose Lane	£6
358	10061	587			Goose Lane	£6
358	10062	588			Goose Lane	£5
358	10063	589			Goose Lane	£5
361	10135	593			Hounsditch Precinct	16
361	10136	594			Hounsditch Precinct	
361	10137	595			Hounsditch Precinct	10
361	10138	596			Hounsditch Precinct	25
361	10139	597			Hounsditch Precinct	30
361	10140	598			Hounsditch Precinct	3
361	10141	599			Hounsditch Precinct	12
361	10142	600			Hounsditch Precinct	12
361	10143	601			Hounsditch Precinct	16
361	10144	602			Hounsditch Precinct	20
361	10145	603			Hounsditch Precinct	1
361	10146	604			Hounsditch Precinct	20
361	10147	605			Hounsditch Precinct	8
361	10148	606			Hounsditch Precinct	6
361	10149	607			Hounsditch Precinct	
361	10150	608			Hounsditch Precinct	6
361	10151	609			Hounsditch Precinct	2
361	10152	610			Hounsditch Precinct	2
361	10153	611			Hounsditch Precinct	2
361	10154	612			Hounsditch Precinct	2
361	10155	613			Hounsditch Precinct	2
361	10156	614			Hounsditch Precinct	2
361	10157	615			Hounsditch Precinct	3
361	10158	616			Hounsditch Precinct	1
361	10159	617			Hounsditch Precinct	4
361	10160	618			Hounsditch Precinct	3
361	10161	619			Hounsditch Precinct	4
361	10162	620			Hounsditch Precinct	8
361	10163	621			Hounsditch Precinct	5
361	10164	622			Hounsditch Precinct	4
361	10165	623			Hounsditch Precinct	8
361	10166	624			Hounsditch Precinct	6
361	10167	625			Hounsditch Precinct	3
361	10168	626			Hounsditch Precinct	4
361	10169	627			Hounsditch Precinct	3
361	10170	628			Hounsditch Precinct	8
361	10171	629			Hounsditch Precinct	3
361	10172	630			Hounsditch Precinct	4
361	10173	631			Hounsditch Precinct	2
361	10174	632			Hounsditch Precinct	8
361	10175	633			Hounsditch Precinct	3
361	10176	634			Hounsditch Precinct	2
361	10177	635			Hounsditch Precinct	1
361	10178	636			Hounsditch Precinct	3
361	10179	637			Hounsditch Precinct	1
361	10180	638			Hounsditch Precinct	1
361	10181	639			Hounsditch Precinct	5
361	10182	640			Hounsditch Precinct	2
361	10183	641			Hounsditch Precinct	6
361	10184	642			Hounsditch Precinct	12
361	10185	643			Hounsditch Precinct	2			
361	10186	644			Hounsditch Precinct	3			
361	10187	645			Hounsditch Precinct	6			
361	10188	646	tenements		Hounsditch Precinct	16			and his tenements
361	10189	647			Hounsditch Precinct	6			
361	10190	648			Hounsditch Precinct	10			
361	10191	649			Hounsditch Precinct	8			
361	10192	650			Hounsditch Precinct	6			
361	10193	651			Hounsditch Precinct	6			
361	10194	652			Hounsditch Precinct	6			
361	10195	653			Hounsditch Precinct	2			
361	10196	654			Hounsditch Precinct	2			
361	10197	655			Hounsditch Precinct	1			
361	10198	656			Hounsditch Precinct	1			
361	10199	657			Hounsditch Precinct	1			
361	10200	658			Hounsditch Precinct	1			
361	10201	659			Hounsditch Precinct	1
361	10202	660			Hounsditch Precinct	
361	10203	661			Hounsditch Precinct	4
361	10204	662			Hounsditch Precinct	4
361	10205	663			Hounsditch Precinct	2
361	10206	664			Hounsditch Precinct	3
361	10207	665			Hounsditch Precinct	2
361	10208	666			Hounsditch Precinct	5
361	10209	667			Hounsditch Precinct	5
