par_list_id	doc_id	pid	global_prop_id	assessement	week_assess	notes
673	546	56184		8s		
674	546	56185		8s		
675	546	56186		8s		
676	546	56187		8s		
677	546	56188		8s		
678	546	56189		8s		
679	546	56190		8s		
680	546	56191		8s		
681	546	56192		6s		
682	546	56193		8s		
683	546	56194		4s		
684	546	56195		4s		
685	546	56196		g14s		and John Schoppen; listed jointly with pid56229
686	546	56197		4s		
687	546	56198		6s		
688	546	56199		4s
689	546	56200		4s
690	546	56201		4s
691	546	56202		6s
692	546	56203		6s
693	546	56204		4s
694	546	56205		6s
695	546	56206		10s
696	546	56207		8s
697	546	56208		10s
698	546	56209		16s
699	546	56210		8s
700	546	56211		8s
701	546	56212		6s
702	546	56213		8s
703	546	56174		8s
704	546	56215		6s		
705	546	56216		6s		
706	546	56217		4s		
707	546	56218		8s		
708	546	56219		8s		
709	546	56220		8s		
710	546	56221		8s		
711	546	56222		10s		
712	546	56223		4s		
713	546	56224		4s		
714	546	56225		10s		
715	546	56225		8s		The same for 2 houses late Frances Lax's (pid56175)
716	546	56226		4s		
717	546	56227		12s		
718	546	56228		4s		
719	547	56231		17s 4d		
720	547	56232		17s 4d		
721	547	56233		4s 4d		
722	547	56234		4s 4d		
723	547	56235		17s 4d		
724	547	56236		17s 4d		
725	547	56237		£1 14s 8d		
726	547	56238		17s 4d		
727	547	56239		£5 4s		
728	547	56240		17s 4d		
729	547	56241		g£1 1s 8d d		listed jointly with pid56294
730	547	56242		17s 4d		
731	547	56243		13s		
732	547	56244		8s 8d		or his successor
733	547	56245		17s 4d		
734	547	56246		13s		
735	547	56247		8s 8d		
736	547	56248		13s		
737	547	56249		4s 4d		or successor
738	547	56250		13s		
739	547	56251		4s 4d		
740	547	56252		4s 4d		
741	547	56253		8s 8d		
742	547	56254		8s 8d		
743	547	56255		8s 8d		
744	547	56256		17s 4d		
745	547	56257		8s 8d		
746	547	56258		g£1 6s		listed jointly with pid56293
747	547	56259		8s 8d		
748	547	56260		8s 8d		
749	547	56261		4s 4d		
750	547	56262		4s 4d		
751	547	56263		4s 4d		
752	547	56264		4s 4d
753	547	56265		8s 8d
754	547	56266		4s 4d
755	547	56267		8s 8d
756	547	56268		13s
757	547	56269		13s
758	547	56270		8s 8d
759	547	56271		13s
760	547	56272		£1 14s 8d
761	547	56273		8s 8d
762	547	56274		13s
763	547	56275		13s
764	547	56230		8s 8d
765	547	56276		13s
766	547	56277		13s
767	547	56278		8s 8d
768	547	56279		4s 4d		
769	547	56280		8s 8d		
770	547	56281		13s		
771	547	56282		17s 4d		
772	547	56283		13s		
773	547	56284		13s		
774	547	56285		17s 4d		
775	547	56286		8s 8d		
776	547	56287		4s 4d		
777	547	56288		13s		
778	547	56289		17s 4d		two houses
779	547	56290		8s 8d		
780	547	56291		17s 4d		
781	547	56292		4s 4d		
782	547	56293		g£1 6s		listed jointly with pid56258
783	547	56294		g£1 1s 8d		listed jointly with pid56241
784	548	56295		8s 8d
785	548	56296		8s 8d
786	548	56297		12s  
787	548	56298		11s 4d
788	548	56299		18s  
789	548	56300		8s 8d
790	548	56301		£1 4s  
791	548	56302		8s 8d
792	548	56303		9s  
793	548	56304		8s 8d
794	548	56305		8s 8d
795	548	56306		9s  
796	548	56307		8s  
797	548	56308		8s  
798	548	56309		8s 4d
799	548	56310		8s  
800	548	56311		8s 8d		
801	548	56312		2s  		
802	548	56313		9s  		
803	548	56314		2s  		
804	548	56315		4s  		
805	548	56316		  		no values by this name
806	548	56317		6s  		
807	548	56318		6s  		
808	548	56319		4s  		
809	548	56320		4s  		
810	548	56321		6s  		
811	548	56322		8s 8d		
812	548	56323		8s 8d		
813	548	56324		8s 8d		
814	548	56325		18s  		
815	548	56326		8s 8d		
816	548	56327		8s 8d
817	548	56328		4s  
818	548	56329		8s 8d
819	548	56330		8s  
820	548	56331		4s  
821	548	56332		8s  
822	548	56333		8s 8d
823	548	56334		8s 8d
824	548	56335		8s 8d
825	548	56336		8s 8d
826	548	56337		11s 
827	548	56338		6s 
828	548	56339		4s 
829	548	56340		9s 
830	548	56341		2s 
831	548	56342		2s 
832	548	56343		g4s		listed jointly with pid56346
833	548	56344		9s		
834	548	56345		6s		
835	548	56346		g4s		listed jointly with pid56343
836	549	56347		3s 		
837	549	56348		1s 8d		
838	549	56349		1s 6d		
839	549	56350		1s 6d		
840	549	56351		1s 6d		
841	549	56352		1s 6d		
842	549	56353		1s 6d		
843	549	56354		4s 6d		Mercers hall
844	549	56355		1s 6d		
845	549	56356		1s 4d		
846	549	56357		1s 6d		
847	549	56358		1s 4d		
848	549	56359		1s 6d		
849	549	56360		1s 6d		
850	549	56361		1s 4d		
851	549	56362		1s 8d		
