INVID	PROID	InvValue	No of rooms	£InvValue	Crops	£Crops	Animals	£Animals	Money	£Money	Debts	£Debts	Leases	£Leases	Shop goods/Tools	£Shopgoods	Clothes	£Clothes	Household goods	£Household	Hearths	Notes
229	627.00	528.04	8.00	£528  0s 10d	59.87	£59 17s 6d	4.00	£4 0s 0d	0.00	0	0.00	0	0.00	0	0.00	0	5.00	£5 0s 0d	38.62	£38 12s 6d	2.00	Total incorrect ?
231	628.00	558.28		£558  5s 8d	352.38	£352 7s 8d	103.15	£103 3s 0d	0.00	0	0.00	0	0.00	0	22.00	£22 0s 0d	0.00	0	0.00	0		
232	231.00	26.92		£26 18s 4d	11.00	£11 0s 0d	10.91	£10 18s 4d	0.00	0	0.00	0	0.00	0	0.00	0	1.00	£1 0s 0d	4.00	£4 0s 0d		
233	630.00	20.62		£20 12s 5½d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.51	£0 10s 4d	1.66	£1 13s 4d	18.43	£18 8s 8d		
234	632.00	57.40		£57  8s 0d	0.00	0	5.00	£5 0s 0d	40.00	£40 0s 0d	0.00	0		0	0.00	0	2.50	£2 10s 0d	9.90	£9 18s 0d		
236	235.00	7.80	2.00	£7 16s 0d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.25	£0 5s 0d	7.56	£7 11s 3d		
237	642.00	20.83	2.00	£20 16s 8d	0.00	0	0.33	£0 6s 8d	14.00	£14 0s 0d	10.00	£10 0s 0d		£4 0s 0d	0.00	0	2.00	£2 0s 0d	4.50	£4 10s 0d	1.00	
238	645.00	200.55	4.00	£200 11s 0d	49.50	£49 10s 0d	43.00	£43 0s 0d	65.15	£65 3s 0d	0.00	0	0.00	0	0.00	0	4.00	£4 0s 0d	37.90	£37 18s 0d		
239	643.00	15.50		£15 10s 0d	4.00	£4 0s 0d	10.50	£10 10s 0d	0.00	0	0.00	0	0.00	0	1.00	£1 0s 0d	0.00	0	0.00	0		
240	644.00	124.24	5.00	£124  4s 10d	71.01	£71 0s 4d	29.36	£29 7s 4d	0.00	0	0.00	0		0	0.00	0	3.00	£3 0s 0d	15.35	£15 7s 2d		
241	647.00	84.09		£84  1s 10d	0.00	0	0.00	0	13.00	£13 0s 0d	4.87	£4 17s 6d		0	37.00	£37 0s 0d	0.00	0	34.00	£34 0s 0d	0.00	
242	650.00	52.57	6.00	£52 11s 6d	0.00	0	0.00	0	0.35	£0 7s 0d	0.00	0		£30 0s 0d	0.00	0	4.00	£4 0s 0d	18.00	£18 0s 0d		Total incorrect ? check MS
243	242.00	8.73	2.00	£8 14s 8d	0.00	0	0.00	0	0.00	0	0.00	0		0	0.00	0	0.66	£0 13s 4d	8.08	£8 1s 8d	1.00	
244	648.00	10.62		£10 12s 6d	0.00	0	0.00	0	3.00	£3 0s 0d	0.00	0		£3 0s 0d	0.00	0	1.00	£1 0s 0d	6.62	£6 12s 6d	0.00	
245	639.00	16.20		£16  4s 0d	0.50	£0 10s 0d	0.00	0	11.00	£11 0s 0d	0.00	0	0.00	0	0.20	£0 4s 0d	1.00	0	3.55	£3 11s 0d		
246	640.00	121.72	3.00	£121 14s 6d	0.00	0	0.00	0	60.30	£70 7s 0d	53.00	£53 0s 0d		£10 0s 0d	32.70	£32 14 0d	2.00	£2 0s 0d	15.22	£15 4s 6d		
247	641.00	12.00		£12  0s 0d	0.00	0	0.00	0	0.00	0	0.00	0		0	0.00	0	2.00	£2 0s 0d	10.00	£10 0s 0d		
248	652.00	174.00		£174  0s 0d	0.00	0	0.00	0	78.00	£78 0s 0d	70.00	£70 0s 0d		0	56.60	£56 12s 0d	6.00	£6 0s 0d	33.40	£33 8s 0d		
249	659.00	7.00	2.00	£7  0s 0d	0.00	0	0.00	0	4.00	£4 0s 0d	0.00	0		0	0.00	0	1.00	£1 0s 0d	2.00	£2 0s 0d	1.00	
250	655.00	10.27	3.00	£10  5s 6d	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	1.66	£1 13s 4d	8.60	£8 12s 2d		
251	656.00	2.82		£2 16s 4d	0.00	0	0.00	0	0.00	0	0.00	0		0	0.00	0	0.66	£0 13s 4d	2.15	£2 3s 0d	1.00	
252	661.00	131.50		£131 10s 0d	20.00	£20 0s 0d	1.50	£1 10s 0d	55.00	£55 0s 0d	5.00	£5 0s 0d		£20 0s 0d	0.00	0	5.00	£5 0s 0d	50.00	£50 0s 0d		
253	658.00	22.15	9.00	£22  3s 0d	0.00	0	0.60	£0 12s 0d	0.00	0	0.00	0		0	1.62	£1 12s 6d	1.00	£1 0s 0d	18.98	£18 19s 8d	1.00	
255	254.00	28.92	1.00	£28 18s 4d	0.00	0	0.00	0	0.00	0	0.00	0		0	7.00	£7 0s 0d	2.00	£2 0s 0d	13.91	£13 18s 4d	1.00	
257	256.00	59.47	5.00	£59  9s 4d	2.60	£2 12s 0d	6.00	£6 0s 0d	0.00	0	0.00	0		0	31.15	£31 3s 0d	1.50	£1 10s 0d	18.72	£18 14s 6d	1.00	
258	257.00	503.85	2.00	£503 17s 0d	0.00	0	0.00	0	160.00	£160 0s 0d	50.00	£50 0s 0d		£100 0s 0d	172.35	£172 7s 0d	2.00	£2 0s 0d	37.50	£37 10s 0d		
260	662.00	16.87	2.00	£16 17s 6d	0.00	0	0.00	0	0.00	0	0.00	0		0	0.00	0	0.00	0	16.87	£16 17s 6d		
261	663.00	211.33	6.00	£211  6s 8d	58.66	£58 13s 4d	33.75	£33 15s 0d	35.72	£35 14s 5d	19.72	£19 14s 5d		£16 0s 0d	0.00	0	8.00	£8 0s 0d	81.91	£81 18s 4d	2.00	
