struct_idx	OldPhillimore	NewPhillimore
14728	8N21	"8,21"
14729	8N22	"8,22"
14730	8N23	"8,23"
14731	8N24	"8,24"
14732	8N25	"8,25"
14733	8N26	"8,26"
14734	8N27	"8,27"
14735	8N28	"8,28"
14736	8W1	"8,29"
14737	8W2	"8,30"
14738	8.00E+01	"8,31"
14739	8.00E+02	"8,32"
14740	8.00E+03	"8,33"
14741	8.00E+04	"8,34"
14742	8.00E+05	"8,35"
14743	8.00E+06	"8,36"
14744	9	9
14745	9W1	"9,1"
14746	9W2	"9,2"
14747	9W3	"9,3"
14748	9W4	"9,4"
14749	9W5	"9,5"
14750	9W6	"9,6"
14751	9W7	"9,7"
14752	9W8	"9,8"
14753	9W9	"9,9"
14754	9W10	"9,10"
14755	9W11	"9,11"
14756	9W12	"9,12"
14757	9W13	"9,13"
14758	9W14	"9,14"
14759	9W15	"9,15"
14760	9W16	"9,16"
14761	9W17	"9,17"
14762	9W18	"9,18"
14763	9W19	"9,19"
14764	9W20	"9,20"
14765	9W21	"9,21"
14766	9W22	"9,22"
14767	9W23	"9,23"
14768	9W24	"9,24"
14769	9W25	"9,25"
14770	9W26	"9,26"
14771	9W27	"9,27"
14772	9W28	"9,28"
14773	9W29	"9,29"
14774	9W30	"9,30"
14775	9W31	"9,31"
14776	9W32	"9,32"
14777	9W33	"9,33"
14778	9W34	"9,34"
14779	9W35	"9,35"
14780	9W36	"9,36"
14781	9W37	"9,37"
14782	9W38	"9,38"
14783	9W39	"9,39"
14784	9W40	"9,40"
14785	9W41	"9,41"
14786	9W42	"9,42"
14787	9W43	"9,43"
14788	9W44	"9,44"
14789	9W45	"9,45"
14790	9W46	"9,46"
14791	9W47	"9,47"
14792	9W48	"9,48"
14793	9W49	"9,49"
14794	9W50	"9,50"
14795	9W51	"9,51"
14796	9W52	"9,52"
14797	9W53	"9,53"
14798	9W54	"9,54"
14799	9W55	"9,55"
14800	9W56	"9,56"
14801	9W57	"9,57"
14802	9W58	"9,58"
14803	9W59	"9,59"
14804	9W60	"9,60"
14805	9W61	"9,61"
14806	9W62	"9,62"
14807	9W63	"9,63"
14808	9W64	"9,64"
14809	9W65	"9,65"
14810	9W66	"9,66"
14811	9W67	"9,67"
14812	9W68	"9,68"
14813	9W69	"9,69"
14814	9W70	"9,70"
14815	9W71	"9,71"
14816	9W72	"9,72"
14817	9W73	"9,73"
14818	9W74	"9,74"
14819	9W75	"9,75"
14820	9W76	"9,76"
14821	9W77	"9,77"
14822	9W78	"9,78"
14823	9W79	"9,79"
14824	9W80	"9,80"
14825	9W81	"9,81"
14826	9W82	"9,82"
14827	9W83	"9,83"
14828	9W84	"9,84"
14829	9W85	"9,85"
14830	9W86	"9,86"
14831	9W87	"9,87"
