place_id	struct_idx	county	phillimore	borough_place	holding	units	value
9460	12786	CHS	"S3,1"	Northwich		-	
9480	12787	CHS	"S3,2"	Northwich		-	
9500	12788	CHS	"S3,3"	Northwich		-	
9520	12789	CHS	"S3,4"	Northwich		value	1.75
9540	13223	DBY	B1	Derby		-	
9560	13223	DBY	B1	[Little] Chester		-	
9580	13223	DBY	B1	Quarndon		-	
9600	13223	DBY	B1	[Little] Eaton		-	
9620	13224	DBY	B2	Litchurch		-	
9640	13224	DBY	B2	Derby	103	messuages	
9660	13224	DBY	B2	Derby	140	burgesses
9680	13225	DBY	B3	Litchurch		-
9700	13225	DBY	B3	Derby		-
9720	13226	DBY	B4	Derby	3	messuages
9740	13226	DBY	B4	Derby	1	mills
9760	13226	DBY	B4	Derby	13	acres of meadow
9780	13227	DBY	B5	Derby	1	churches
9800	13228	DBY	B6	Derby	1	churches
9820	13228	DBY	B6	Derby	1	geld
9840	13229	DBY	B7	Derby	1	churches
9860	13230	DBY	B8	Derby	1	churches
9880	13231	DBY	B9	Derby	2	messuages
9900	13231	DBY	B9	Derby	1	fisheries
9920	13232	DBY	B10	Derby	3	messuages
9940	13233	DBY	B11	Derby	0.12	geld
9960	13234	DBY	B12	Derby	0.12	geld
9980	13235	DBY	B13	Derby	12	thraves of corn	
10000	13236	DBY	B14	Derby	8	messuages	
10020	13237	DBY	B15	Derby		third penny	
10040	13238	DBY	B16	Derby		-	
10060	13239	NTT	B1	Nottingham	1	meadow	
10080	13239	NTT	B1	Nottingham	1	woodland	
10100	13240	NTT	B2	Nottingham	1	geld	
10120	13241	NTT	B3	Nottingham	13	houses	
10140	13241	NTT	B3	Nottingham	120	men	
10160	13242	NTT	B4	Nottingham	1	churches	
10180	13242	NTT	B4	Nottingham	3	messuages	
10200	13242	NTT	B4	Nottingham	5.5	acres	
10220	13243	NTT	B5	Nottingham		-	
10240	13244	NTT	B6	Nottingham		-	
10260	13245	NTT	B7	Nottingham		value	40
10280	13246	NTT	B8	Nottingham	3	messuages	
10300	13246	NTT	B8	Nottingham	11	houses	0.22
10320	13247	NTT	B9	Nottingham	48	houses	1.8
10340	13247	NTT	B9	Nottingham	12	houses	
10360	13247	NTT	B9	Nottingham	8	smallholders	
10380	13248	NTT	B10	Nottingham	13	houses	
10400	13248	NTT	B10	Nottingham	1	merchants	
10420	13249	NTT	B11	Nottingham	4	houses	
10440	13250	NTT	B12	Nottingham	11	houses	
10460	13250	NTT	B12	Nottingham	3	merchants	
10480	13251	NTT	B13	Nottingham	23	houses	
10500	13252	NTT	B14	Nottingham	65	houses	
10520	13253	NTT	B15	Nottingham	1	churches	5
10540	13254	NTT	B16	Nottingham	4	houses	
10560	13255	NTT	B17	Nottingham	23	houses	
10580	13256	NTT	B18	Nottingham	10	acres	
10600	13257	NTT	B19	Nottingham		-	
10620	13258	NTT	B20	Nottingham		-
10640	13258	NTT	B20	York		-
10660	13868	YKS	C1a	York		-
10680	13869	YKS	C1b	York	1476	messuages
10700	13870	YKS	C2	York	1	houses
10720	13870	YKS	C2	York	1	churches
10740	13871	YKS	C3	York	14	messuages
10760	13871	YKS	C3	York	2	market stalls
10780	13871	YKS	C3	York	1	churches
10800	13872	YKS	C4	York	1	messuages
10820	13873	YKS	C5	York	2	messuages
10840	13874	YKS	C6	York	3	messuages
10860	13875	YKS	C7	York	3	messuages
10880	13876	YKS	C8	York	2	messuages
10900	13877	YKS	C9	York	2	messuages
10920	13878	YKS	C10	York	24	messuages
10940	13878	YKS	C10	York	1	churches	
10960	13879	YKS	C11	York	4	messuages	
10980	13879	YKS	C11	York	29	lodgings	
11000	13879	YKS	C11	York	1	churches	
