struct_idx	county	phillimore	text_type
645	SUS	"9,75"	E
646	SUS	"9,76"	E
647	SUS	"9,77"	E
648	SUS	"9,78"	E
649	SUS	"9,79"	E
650	SUS	"9,80"	E
651	SUS	"9,81"	E
652	SUS	"9,82"	E
653	SUS	"9,83"	E
654	SUS	"9,84"	E
655	SUS	"9,85"	E
656	SUS	"9,86"	E
657	SUS	"9,87"	E
658	SUS	"9,88"	E
659	SUS	"9,89"	E
660	SUS	"9,90"	E
661	SUS	"9,91"	E
662	SUS	"9,92"	E
663	SUS	"9,93"	E
664	SUS	"9,94"	E
665	SUS	"9,95"	E
666	SUS	"9,96"	E
667	SUS	"9,97"	E
668	SUS	"9,98"	E
669	SUS	"9,99"	E
670	SUS	"9,100"	E
671	SUS	"9,101"	E
672	SUS	"9,102"	E
673	SUS	"9,103"	E
674	SUS	"9,104"	E
675	SUS	"9,105"	E
676	SUS	"9,106"	E
677	SUS	"9,107"	E
678	SUS	"9,108"	E
679	SUS	"9,109"	E
680	SUS	"9,110"	E
681	SUS	"9,111"	E
682	SUS	"9,112"	E
683	SUS	"9,113"	E
684	SUS	"9,114"	E
685	SUS	"9,115"	E
686	SUS	"9,116"	E
687	SUS	"9,117"	E
688	SUS	"9,118"	E
689	SUS	"9,119"	E
690	SUS	"9,120"	E
691	SUS	"9,121"	E
692	SUS	"9,122"	E
693	SUS	"9,123"	E
694	SUS	"9,124"	E
695	SUS	"9,125"	E
696	SUS	"9,126"	E
697	SUS	"9,127"	E
698	SUS	"9,128"	E
699	SUS	"9,129"	E
700	SUS	"9,130"	E
701	SUS	"9,131"	E
703	SUS	"10,1"	E
704	SUS	"10,2"	E
705	SUS	"10,3"	E
706	SUS	"10,4"	E
707	SUS	"10,5"	E
708	SUS	"10,6"	E
709	SUS	"10,7"	E
710	SUS	"10,8"	E
711	SUS	"10,9"	E
712	SUS	"10,10"	E
713	SUS	"10,11"	E
714	SUS	"10,12"	E
715	SUS	"10,13"	E
716	SUS	"10,14"	E
717	SUS	"10,15"	E
718	SUS	"10,16"	E
719	SUS	"10,17"	E
720	SUS	"10,18"	E
721	SUS	"10,19"	E
722	SUS	"10,20"	E
723	SUS	"10,21"	E
724	SUS	"10,22"	E
725	SUS	"10,23"	E
726	SUS	"10,24"	E
727	SUS	"10,25"	E
728	SUS	"10,26"	E
729	SUS	"10,27"	E
730	SUS	"10,28"	E
731	SUS	"10,29"	E
732	SUS	"10,30"	E
733	SUS	"10,31"	E
734	SUS	"10,32"	E
735	SUS	"10,33"	E
736	SUS	"10,34"	E
737	SUS	"10,35"	E
738	SUS	"10,36"	E
739	SUS	"10,37"	E
740	SUS	"10,38"	E
741	SUS	"10,39"	E
742	SUS	"10,40"	E
743	SUS	"10,41"	E
744	SUS	"10,42"	E
745	SUS	"10,43"	E
