Parish (or part of parish),User-selected,Hundred,Hundred code,Hundred order,Market Town?,Other Towns,Deanery (old),Deanery code,Modern District,Modern District code,Inhabited houses,Families,Popn 1831,Males over 20,Farmers with workers,"Farmers, no workers",Agric labourers,Industrial,"Craft, commerce",Profess-ionals etc,Non-agric labourers,Others,Servants,Farmers with workers,"Farmers, no workers",Agric labourers,Industrial,"Craft, commerce",Profess-ionals etc,Non-agric labourers,Others,Servants,Males >20 'weighting',"Farming, total",Non-agric employment,Profess-ionals etc,Others,GPI,GPI as % of Devon,,,
Colyton,1,Colyton,9,2,Yes,,Honiton,10,East Devon,6,436,447,"2,182",514,50,27,130,0,201,16,45,34,11,10%,5%,25%,0%,39%,3%,9%,7%,2%,1,40%,50%,3%,7%,0.5,101%,,,
Combe Martin,,Braunton,4,9,Historically,,Shirwell,17,North Devon,10,228,243,"1,031",260,24,13,85,0,55,7,47,29,0,9%,5%,33%,0%,21%,3%,18%,11%,0%,1.07,47%,39%,3%,11%,0.46,94%,,,
Combe Raleigh,2,Axminster,1,4,,,Dunkeswell,6,East Devon,6,53,53,296,79,10,2,46,0,13,2,0,3,3,13%,3%,58%,0%,16%,3%,0%,4%,4%,1.14,73%,20%,3%,4%,0.46,94%,,,
Combeinteignhead,,Wonford,32,7,,,Kenn,12,Teignbridge,5,98,101,460,110,9,8,47,0,18,3,14,11,0,8%,7%,43%,0%,16%,3%,13%,10%,0%,1.02,58%,29%,3%,10%,0.42,85%,,,
Combpyne,4,Axminster,1,3,,,Honiton,10,East Devon,6,25,25,142,38,2,2,24,0,8,0,0,2,0,5%,5%,63%,0%,21%,0%,0%,5%,0%,1.14,74%,21%,0%,5%,0.39,81%,,,
Compton Gifford (linked to Plymouth Charles the Martyr),,Roborough,23,6,,Plymouth/SD,Three Towns,21,Plymouth,2,44,46,229,58,4,5,29,0,4,13,0,0,3,7%,9%,50%,0%,7%,22%,0%,0%,5%,1.08,66%,12%,22%,0%,0.74,151%,,,
Cookbury,,Black Torrington,3,13,,,Holsworthy,9,Torridge,9,55,55,290,74,23,0,41,0,10,0,0,0,0,31%,0%,55%,0%,14%,0%,0%,0%,0%,1.09,86%,14%,0%,0%,0.47,95%,,,
Cornwood,,Ermington,11,3,,Medium,Plympton,15,South Hams,4,188,202,"1,056",271,19,19,142,0,74,4,7,6,0,7%,7%,52%,0%,27%,1%,3%,2%,0%,1.09,66%,30%,1%,2%,0.45,91%,,,
Cornworthy,,Coleridge,8,6,,,Totnes,24,South Hams,4,105,117,567,137,18,5,71,4,37,1,0,0,1,13%,4%,52%,3%,27%,1%,0%,0%,1%,1.03,69%,31%,1%,0%,0.43,88%,,,
Coryton,,Lifton,19,5,,,Tavistock,20,West Devon,8,57,64,314,76,5,10,30,0,7,0,21,3,0,7%,13%,39%,0%,9%,0%,28%,4%,0%,1.03,59%,37%,0%,4%,0.37,76%,,,
Cotleigh,4,Colyton,9,3,,,Honiton,10,East Devon,6,47,47,240,69,22,0,42,0,4,1,0,0,0,32%,0%,61%,0%,6%,1%,0%,0%,0%,1.22,93%,6%,1%,0%,0.53,107%,,,
Countisbury,,Shirwell,25,5,,,Shirwell,17,North Devon,10,31,34,187,54,13,0,31,0,6,4,0,0,0,24%,0%,57%,0%,11%,7%,0%,0%,0%,1.23,81%,11%,7%,0%,0.63,128%,,,
Creacombe,,Witheridge,31,4,,,South Molton,18,North Devon,10,7,7,43,12,3,0,8,0,1,0,0,0,0,25%,0%,67%,0%,8%,0%,0%,0%,0%,1.19,92%,8%,0%,0%,0.45,93%,,,
Crediton Borough,,Crediton,10,2,Yes (part),,Cadbury,3,Mid Devon,7,389,394,"1,858",383,2,2,50,1,234,22,48,17,7,1%,1%,13%,0%,61%,6%,13%,4%,2%,0.88,14%,76%,6%,4%,0.5,101%,,,
Crediton Cannon Fee,,Crediton,10,3,,Large,Cadbury,3,Mid Devon,7,356,358,"1,514",375,0,0,54,0,203,12,69,33,4,0%,0%,14%,0%,54%,3%,18%,9%,1%,1.05,14%,74%,3%,9%,0.53,108%,,,
Crediton Knowle,,Crediton,10,4,,,Cadbury,3,Mid Devon,7,66,67,401,95,11,2,59,0,14,1,8,0,0,12%,2%,62%,0%,15%,1%,8%,0%,0%,1.01,76%,23%,1%,0%,0.38,77%,,,
Crediton Rudge,,Crediton,10,5,,,Cadbury,3,Mid Devon,7,48,48,261,65,5,2,47,0,1,4,0,1,5,8%,3%,72%,0%,2%,6%,0%,2%,8%,1.06,83%,9%,6%,2%,0.42,85%,,,
Crediton Town,,Crediton,10,6,Yes (part),,Cadbury,3,Mid Devon,7,217,220,"1,073",231,7,4,60,4,95,8,37,4,12,3%,2%,26%,2%,41%,3%,16%,2%,5%,0.92,31%,64%,3%,2%,0.44,90%,,,
Crediton Ufford,,Crediton,10,7,,,Cadbury,3,Mid Devon,7,46,47,288,60,10,0,35,0,14,0,1,0,0,17%,0%,58%,0%,23%,0%,2%,0%,0%,0.89,75%,25%,0%,0%,0.35,72%,,,
Crediton Uton,,Crediton,10,8,,,Cadbury,3,Mid Devon,7,49,49,259,70,8,3,53,0,2,0,2,2,0,11%,4%,76%,0%,3%,0%,3%,3%,0%,1.15,91%,6%,0%,3%,0.36,73%,,,
Crediton Woodland,,Crediton,10,9,,,Cadbury,3,Mid Devon,7,46,46,268,57,9,4,41,0,3,0,0,0,0,16%,7%,72%,0%,5%,0%,0%,0%,0%,0.91,95%,5%,0%,0%,0.31,64%,,,
Cruwys Morchard,,Witheridge,31,5,,,South Molton,18,Mid Devon,7,116,120,634,184,38,5,84,0,34,4,4,15,0,21%,3%,46%,0%,18%,2%,2%,8%,0%,1.24,69%,21%,2%,8%,0.55,112%,,,
Cullompton,,Hayridge,16,6,Yes,,Plymtree,16,Mid Devon,7,787,973,"3,813",988,67,20,235,249,278,34,34,65,6,7%,2%,24%,25%,28%,3%,3%,7%,1%,1.1,33%,57%,3%,7%,0.51,104%,,,
