hundred,unique_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,unique_treatment_1524,unique_treatment_1543,unique_treatment_1581,unique_treatment_1674,unique_control_1524,unique_control_1543,unique_control_1581,unique_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,unique_treatment_1840,unique_control_1840,avg_val_1840
West Budleigh,30889,,,1.0,,,,1.0,,,,1.0,,,,Crook,,,,0.0,,,,0.0,,,,1.0,,,,,,,,
West Budleigh,30914,,,2.0,,,,1.0,,,,2.0,,,,Barby,,,,0.0,,,,0.0,,,,2.0,,,,,,,,
West Budleigh,31061,6.0,,4.0,,2.0,,1.0,,5.0,,4.0,,Gore,,Gore,,0.0,,0.0,,0.0,,0.0,,3.0,,4.0,,,,,,,,
West Budleigh,31062,1.0,,,,1.0,,,,1.0,,,,Garde,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,31082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18139.0,31.0,1793.0,Hodge,0.0,0.0,585.1290322580645
West Budleigh,31086,1.0,2.0,5.0,,1.0,2.0,1.0,,1.0,1.0,5.0,,Lovel,Lovel,Lovel,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,5.0,,,,,,,,
West Budleigh,31326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5610.0,15.0,1014.0,Pitman,0.0,0.0,374.0
West Budleigh,31327,2.0,,,,1.0,,,,2.0,,,,Breer,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,
West Budleigh,31517,,,3.0,,,,1.0,,,,3.0,,,,Surrage,,,,0.0,,,,0.0,,,,3.0,,,,,,,,
West Budleigh,31864,,,7.0,,,,1.0,,,,7.0,,,,Southwood,,,,0.0,,,,0.0,,,,7.0,,,,,,,,
West Budleigh,31975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40899.0,78.0,1685.0,Bater,0.0,0.0,524.3461538461538
West Budleigh,31980,1.0,,,,1.0,,,,1.0,,,,West,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
West Budleigh,32220,2.0,,,,1.0,,,,2.0,,,,Will,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,
West Budleigh,32231,,,6.0,,,,1.0,,,,6.0,,,,Quick,,,,0.0,,,,0.0,,,,6.0,,,,,,,,
West Budleigh,32476,,14.0,,,,2.0,,,,9.0,,,,Doddridge,,,,0.0,,,,0.0,,,,7.0,,,,,,,,,
West Budleigh,32480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11594.0,24.0,1108.0,Bodley,0.0,1.0,483.0833333333333
West Budleigh,33157,,1.0,,,,1.0,,,,1.0,,,,Benet,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
West Budleigh,33271,,18.0,3.0,,,3.0,1.0,,,9.0,3.0,,,Webber,Webber,,,0.0,0.0,,,1.0,1.0,,,6.0,3.0,,,,,,,,
West Budleigh,33325,,4.0,,,,1.0,,,,4.0,,,,Richard,,,,0.0,,,,0.0,,,,4.0,,,,,,,,,
West Budleigh,33368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10426.0,19.0,1073.0,Rolle,1.0,0.0,548.7368421052631
West Budleigh,34855,70.0,,,,2.0,,,,40.0,,,,Westcote,,,,0.0,,,,0.0,,,,35.0,,,,,,,,,,
West Budleigh,34856,20.0,,,,1.0,,,,20.0,,,,Kymplond,,,,0.0,,,,0.0,,,,20.0,,,,,,,,,,
West Budleigh,34857,8.0,,,,2.0,,,,5.0,,,,Esseworthy,,,,0.0,,,,0.0,,,,4.0,,,,,,,,,,
West Budleigh,34858,25.0,,,,3.0,,,,12.0,,,,Esseworthy,,,,0.0,,,,0.0,,,,8.333333333333334,,,,,,,,,,
