hundred,group_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,group_treatment_1524,group_treatment_1543,group_treatment_1581,group_treatment_1674,group_control_1524,group_control_1543,group_control_1581,group_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,group_treatment_1840,group_control_1840,avg_val_1840
South Molton,7712,,,4.0,2.0,,,1.0,2.0,,,4.0,1.0,,,Hobbes,Hopps,,,0.0,0.0,,,0.0,0.0,,,4.0,1.0,,,,,,,
South Molton,7745,,3.0,3.0,,,2.0,1.0,,,2.0,3.0,,,Hodge,Hodge,,,0.0,0.0,,,0.0,0.0,,,1.5,3.0,,84.0,11.0,40.0,Hodge,0.0,0.0,7.636363636363637
South Molton,7766,,1.0,,,,1.0,,,,1.0,,,,Hogge,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
South Molton,7793,2.0,1.0,,,1.0,1.0,,,2.0,1.0,,,Hole,Hoyle,,,0.0,0.0,,,0.0,0.0,,,2.0,1.0,,,103930.0,213.0,12650.0,Hole,0.0,0.0,487.9342723004695
South Molton,7803,,,,1.0,,,,1.0,,,,1.0,,,,Holland,,,,0.0,,,,0.0,,,,1.0,144.0,3.0,85.0,Holland,0.0,0.0,48.0
South Molton,7831,1.0,,,,1.0,,,,1.0,,,,Holman,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
South Molton,7875,9.666666666666666,4.0,6.0,1.0,4.0,1.0,1.0,1.0,5.0,4.0,6.0,1.0,Hoper,Hoper,Hooper,Hooper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4166666666666665,4.0,6.0,1.0,,,,,,,
South Molton,7886,,,,1.0,,,,1.0,,,,1.0,,,,Hobley,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,7899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940.0,10.0,279.0,Horden,0.0,0.0,94.0
South Molton,7909,1.0,,,,1.0,,,,1.0,,,,Horne,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
South Molton,7938,5.0,,,,3.0,,,,2.0,,,,Horton,,,,0.0,,,,0.0,,,,1.6666666666666667,,,,,,,,,,
South Molton,7942,2.0,,10.0,,1.0,,1.0,,2.0,,10.0,,Horwood,,Horwood,,0.0,,0.0,,0.0,,0.0,,2.0,,10.0,,,,,,,,
South Molton,7945,,19.0,6.0,1.0,,3.0,1.0,1.0,,12.0,6.0,1.0,,Hosegood,Hosegood,Hosgood,,0.0,0.0,0.0,,0.0,0.0,0.0,,6.333333333333333,6.0,1.0,1380.0,7.0,1266.0,Hosegood,0.0,0.0,197.14285714285714
South Molton,7948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8746.0,35.0,625.0,Hoskin,0.0,0.0,249.88571428571427
South Molton,7961,2.0,,,,1.0,,,,2.0,,,,Howe,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,
South Molton,7973,,,,1.0,,,,1.0,,,,1.0,,,,House,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,7987,20.0,,,,1.0,,,,20.0,,,,Howell,,,,0.0,,,,0.0,,,,20.0,,,,25.0,2.0,16.0,Howel,0.0,0.0,12.5
South Molton,8045,,,,5.0,,,,1.0,,,,5.0,,,,Huggin,,,,0.0,,,,0.0,,,,5.0,,,,,,,
South Molton,8098,,41.0,6.0,1.0,,6.0,2.0,1.0,,10.0,5.0,1.0,,Hunt,Hunt,Hunt,,0.0,0.0,0.0,,0.0,0.0,0.0,,6.833333333333333,3.0,1.0,153.0,8.0,40.0,Hunt,0.0,0.0,19.125
South Molton,8138,,,,2.0,,,,1.0,,,,2.0,,,,Husey,,,,0.0,,,,0.0,,,,2.0,,,,,,,
South Molton,8142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,6.0,153.0,Hutchings,0.0,0.0,48.0
South Molton,8157,,,,2.0,,,,2.0,,,,1.0,,,,Huxtable,,,,0.0,,,,0.0,,,,1.0,80265.0,243.0,2208.0,Huxtable,0.0,0.0,330.30864197530866
South Molton,8267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,2.0,34.0,Ireland,0.0,0.0,25.5
South Molton,8274,,3.0,,,,1.0,,,,3.0,,,,Isacke,,,,0.0,,,,0.0,,,,3.0,,,,,,,,,
South Molton,8332,,,,1.0,,,,1.0,,,,1.0,,,,James,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,8334,5.0,3.0,,,1.0,1.0,,,5.0,3.0,,,Jayne,Jane,,,0.0,0.0,,,0.0,0.0,,,5.0,3.0,,,,,,,,,
South Molton,8418,3.0,2.0,,1.0,1.0,1.0,,1.0,3.0,2.0,,1.0,Jope,Jope,,Jope,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,2.0,,1.0,,,,,,,
South Molton,8431,41.0,,,1.0,2.0,,,1.0,40.0,,,1.0,John,,,Jon,0.0,,,0.0,0.0,,,0.0,20.5,,,1.0,,,,,,,
South Molton,8435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43209.0,155.0,9880.0,Johnson,0.0,0.0,278.76774193548385
South Molton,8449,,,,3.0,,,,3.0,,,,1.0,,,,Jones,,,,0.0,,,,0.0,,,,1.0,10496.0,38.0,988.0,Jones,0.0,0.0,276.2105263157895
South Molton,8453,,,,12.0,,,,3.0,,,,6.0,,,,Jory,,,,0.0,,,,0.0,,,,4.0,,,,,,,
South Molton,8466,,3.0,,,,1.0,,,,3.0,,,,Josse,,,,0.0,,,,0.0,,,,3.0,,,42415.0,135.0,1476.0,Joce,0.0,0.0,314.18518518518516
South Molton,8512,,,,5.0,,,,1.0,,,,5.0,,,,Kee,,,,0.0,,,,0.0,,,,5.0,,,,,,,
South Molton,8518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12227.0,29.0,1371.0,Keen,0.0,0.0,421.62068965517244
South Molton,8532,,,,6.0,,,,1.0,,,,6.0,,,,Kelland,,,,0.0,,,,0.0,,,,6.0,,,,,,,
South Molton,8595,,20.0,,,,4.0,,,,11.0,,,,Kerslake,,,,0.0,,,,1.0,,,,5.0,,,68155.0,129.0,2341.0,Karslake,0.0,1.0,528.3333333333334
South Molton,8677,,,,1.0,,,,1.0,,,,1.0,,,,Kinge,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,8679,,,3.0,1.0,,,1.0,1.0,,,3.0,1.0,,,Kingdon,Kingdom,,,0.0,0.0,,,0.0,0.0,,,3.0,1.0,1330.0,19.0,335.0,Kingdon,0.0,0.0,70.0
South Molton,8763,,20.0,,,,1.0,,,,20.0,,,,Knight,,,,0.0,,,,1.0,,,,20.0,,,13472.0,30.0,944.0,Knight,0.0,1.0,449.06666666666666
South Molton,8777,,1.0,,,,1.0,,,,1.0,,,,Knoll,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
South Molton,8805,,1.0,,,,1.0,,,,1.0,,,,Lade,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
South Molton,8828,7.0,12.0,18.0,1.0,3.0,2.0,3.0,1.0,3.0,8.0,8.0,1.0,Lake,Lake,Lake,Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,6.0,6.0,1.0,,,,,,,
South Molton,8830,,15.0,9.0,,,3.0,1.0,,,7.0,9.0,,,Lakeman,Lakeman,,,0.0,0.0,,,0.0,0.0,,,5.0,9.0,,,,,,,,
South Molton,8880,,2.0,,2.0,,1.0,,1.0,,2.0,,2.0,,Landman,,Landman,,0.0,,0.0,,0.0,,0.0,,2.0,,2.0,,,,,,,
South Molton,8885,,,,7.0,,,,4.0,,,,3.0,,,,Lane,,,,0.0,,,,0.0,,,,1.75,,,,,,,
South Molton,8890,1.3333333333333333,2.0,,1.0,1.0,1.0,,1.0,1.3333333333333333,2.0,,1.0,Long,Long,,Lang,0.0,0.0,,0.0,0.0,0.0,,0.0,1.3333333333333333,2.0,,1.0,,,,,,,
South Molton,8989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38966.0,118.0,1345.0,Law,0.0,0.0,330.22033898305085
South Molton,8998,,,,1.0,,,,1.0,,,,1.0,,,,Lawerence,,,,0.0,,,,0.0,,,,1.0,,,,,,,
