surname,occup,occupation,loc,location,location_in,county,topo,nick,rel,English:,French:,Welsh:,Cornish:,Norman:
Agge,0,,1,,,,0,0,1,1,0,0,0,0
Agge,0,,1,,,,0,0,1,1,0,0,0,0
Agger,0,,0,,,,0,0,1,1,0,0,0,0
Agger,0,,0,,,,0,0,0,1,0,0,0,0
Agger,0,,0,,,,0,1,0,1,0,0,0,0
Aggeson,0,,0,,,,0,0,1,1,0,0,0,0
Agget,0,,0,,,,0,0,0,1,0,0,0,0
Aggett,0,,0,,,,0,0,0,1,0,0,0,0
Agland,0,,1,Acland Barton,Landkey,Devon,0,0,0,1,0,0,0,0
Agland,0,,0,,,,0,0,0,1,0,0,0,0
Agland,0,,1,Hackland,,Orkney,0,0,0,1,0,0,0,0
Agneau,0,,1,Agneaux,,Manche,1,1,0,1,0,0,0,0
Agneaw,0,,1,Agneaux,,Manche,1,1,0,1,0,0,0,0
Agneeu,0,,1,Agneaux,,Manche,1,1,0,1,0,0,0,0
Agnel,0,,1,Agneaux,,Manche,1,1,0,1,0,0,0,0
Agnell,0,,0,,,,0,0,1,1,0,0,0,0
Agnes,0,,0,,,,0,0,0,1,0,0,0,0
Agness,0,,0,,,,0,0,0,1,0,0,0,0
Agnew,0,,1,Agneaux,,Manche,1,1,0,1,0,0,0,0
Agniel,0,,1,Agneaux,,Manche,1,1,0,1,0,0,0,0
Agniws,0,,1,Agneaux,,Manche,1,1,0,1,0,0,0,0
Aguillon,0,,0,,,,0,0,0,0,1,0,0,0
Agutter,0,,0,,,,0,0,0,1,0,0,0,0
Ahannay,0,,1,Hannah,,Lincs,0,0,0,1,0,0,0,0
Ahayr(e,0,,0,,,,0,1,1,1,0,0,0,0
Ahier,0,,0,,,,0,0,0,0,1,0,0,0
Ahir,0,,0,,,,0,0,0,0,1,0,0,0
Aicheson,0,,0,,,,0,0,0,1,0,0,0,0
Aier,0,,0,,,,0,0,1,1,0,0,0,0
Aiers,0,,0,,,,0,0,1,1,0,0,0,0
Aiers,0,,0,,,,0,0,0,1,0,0,0,0
Aignaus,0,,1,Agneaux,,Manche,1,1,0,1,0,0,0,0
Aigneux,0,,1,Agneaux,,Manche,1,1,0,1,0,0,0,0
Aike,0,,1,,,,0,0,0,1,0,0,0,0
Aikens,0,,0,,,,0,0,0,1,0,0,0,0
Aikins,0,,0,,,,0,0,0,1,0,0,0,0
Aildred,0,,0,,,,0,0,1,1,0,0,0,0
Aildrith,0,,1,,,,0,0,1,1,0,0,0,0
Ailen,0,,1,,,,0,0,1,1,0,0,0,0
Ailes,0,,0,,,,0,0,1,1,0,0,0,0
Aileves,0,,0,,,,0,0,1,1,0,0,0,0
Ailey,0,,0,,,,0,0,0,1,0,0,0,0
Ailey,0,,1,,,,0,0,1,1,0,0,0,0
Aillofe,0,,0,,,,0,0,1,1,0,0,0,0
Ailmun,0,,0,,,,0,0,1,1,0,0,0,0
Ailmun,0,,0,,,,0,0,0,1,0,0,0,0
Ailred,0,,0,,,,0,0,1,1,0,0,0,0
Ailric,0,,1,Aldridge,,Staffs,0,0,1,1,0,0,0,0
Ailrich,0,,1,Aldridge,,Staffs,0,0,1,1,0,0,0,0
Ailward,0,,0,,,,0,0,0,1,0,0,0,0
Ailwi,0,,0,,,,0,0,1,1,0,0,0,0
Aily,0,,1,,,,0,0,1,1,0,0,0,0
Aimson,0,,0,,,,0,0,0,1,0,0,0,0
Aimson,0,,0,,,,0,0,0,1,0,0,0,0
Aindow,0,,0,,,,0,0,0,1,0,0,0,0
Ainesley,0,,1,Ansley,,Warwicks,0,0,0,1,0,0,0,0
Ainesworth,0,,1,Ainsworth,,Lancs,0,0,0,1,0,0,0,0
Ainge,0,,0,,,,0,0,1,1,0,0,0,0
Ainge,0,,0,,,,0,0,0,1,0,0,0,0
Ainger,0,,0,,,,0,0,1,1,0,0,0,0
Ainger,0,,1,,,,0,0,0,1,0,0,0,0
Ainley,0,,0,,,,0,0,0,1,0,0,0,0
Ainsbury,0,,1,,,,0,0,0,1,0,0,0,0
Ainscough,0,,0,,,,0,0,0,1,0,0,0,0
Ainscough,0,,0,,,,0,0,0,1,0,0,0,0
Ainscow,0,,0,,,,0,0,0,1,0,0,0,0
Ainsley,0,,1,Ansley,,Warwicks,0,0,0,1,0,0,0,0
Ainson,0,,0,,,,0,0,1,1,0,0,0,0
Ainson,0,,0,,,,0,0,0,1,0,0,0,0
Ainswoorth,0,,1,Ainsworth,,Lancs,0,0,0,1,0,0,0,0
Ainsworth,0,,1,Ainsworth,,Lancs,0,0,0,1,0,0,0,0
Ainsworth,0,,0,,,,0,0,0,1,0,0,0,0
Air,0,,0,,,,0,0,1,1,0,0,0,0
Aires,0,,0,,,,0,0,1,1,0,0,0,0
Aires,0,,0,,,,0,0,0,1,0,0,0,0
Airey,0,,0,,,,0,0,0,1,0,0,0,0
Airs,0,,0,,,,0,0,0,1,0,0,0,0
Airs,0,,0,,,,0,0,1,1,0,0,0,0
Airton,0,,0,,,,0,0,0,1,0,0,0,0
Airy,0,,0,,,,0,0,0,1,0,0,0,0
Aisbitt,0,,0,,,,0,0,0,1,0,0,0,0
Aish,0,,0,,,,0,0,0,1,0,0,0,0
Aisher,0,,1,,,,1,0,0,1,0,0,0,0
Aishford,0,,0,,,,0,0,0,1,0,0,0,0
Aiskell,0,,0,,,,0,0,0,1,0,0,0,0
Aiskell,0,,0,,,,0,0,1,1,0,0,0,0
Aislabie,0,,0,,,,0,0,0,1,0,0,0,0
Aisthorpe,0,,0,,,,0,0,0,1,0,0,0,0
Aiston,0,,0,,,,0,0,0,1,0,0,0,0
Aistrop,0,,0,,,,0,0,0,1,0,0,0,0
Aitcheson,0,,0,,,,0,0,0,1,0,0,0,0
Aitcheson,0,,0,,,,0,0,0,1,0,0,0,0
Aitchison,0,,0,,,,0,0,0,1,0,0,0,0
Aitken,0,,0,,,,0,0,0,1,0,0,0,0
Aitkens,0,,0,,,,0,0,0,1,0,0,0,0
Aitkins,0,,0,,,,0,0,0,1,0,0,0,0
Aiton,0,,1,,,,0,0,0,1,0,0,0,0
Aiuilla,0,,1,,,,0,1,0,1,0,0,0,0
Aizlewood,0,,0,,,,0,0,0,1,0,0,0,0
Aka,0,,1,,,,1,1,0,1,0,0,0,0
Akam,0,,1,,,,0,0,0,1,0,0,0,0
Akaster,0,,0,,,,0,0,0,1,0,0,0,0
Ake,0,,1,,,,0,0,0,1,0,0,0,0
Aked,0,,0,,,,0,0,0,1,0,0,0,0
Akeherst,0,,1,Akehurst Farm,Hellingly,Sussex,0,0,0,1,0,0,0,0
Akeherste,0,,1,Akehurst Farm,Hellingly,Sussex,0,0,0,1,0,0,0,0
Akehurst,0,,1,Akehurst Farm,Hellingly,Sussex,0,0,0,1,0,0,0,0
Akeland,0,,1,Acland Barton,Landkey,Devon,0,0,0,1,0,0,0,0
Aken,0,,0,,,,0,0,0,1,0,0,0,0
Aker,0,,1,,,,0,0,0,1,0,0,0,0
Akerman,1,,0,,,,0,0,0,1,0,0,0,0
Akeroyd,0,,0,,,,0,0,0,1,0,0,0,0
Akers,0,,0,,,,0,0,0,1,0,0,0,0
Akers,0,,1,,,,0,0,0,1,0,0,0,0
Akerst,0,,1,Akehurst Farm,Hellingly,Sussex,0,0,0,1,0,0,0,0
Akeson,0,,0,,,,0,0,1,1,0,0,0,0
Akester,0,,0,,,,0,0,0,1,0,0,0,0
Akhurst,0,,1,Akehurst Farm,Hellingly,Sussex,0,0,0,1,0,0,0,0
Akid,0,,0,,,,0,0,0,1,0,0,0,0
Akin,0,,0,,,,0,0,0,1,0,0,0,0
Akin,0,,0,,,,0,0,0,1,0,0,0,0
Akins,0,,0,,,,0,0,0,1,0,0,0,0
Akister,0,,0,,,,0,0,0,1,0,0,0,0
Akitt,0,,0,,,,0,0,0,1,0,0,0,0
Akkelane,0,,1,Acland Barton,Landkey,Devon,0,0,0,1,0,0,0,0
Akker,0,,1,,,,0,0,0,1,0,0,0,0
Akred,0,,0,,,,0,0,0,1,0,0,0,0
Akrigg,0,,0,,,,0,0,0,1,0,0,0,0
Akrill,0,,0,,,,0,0,0,1,0,0,0,0
Akroyd,0,,0,,,,0,0,0,1,0,0,0,0
Akum,0,,1,,,,0,0,0,1,0,0,0,0
Alabaster,0,,0,,,,0,0,0,1,0,0,0,0
Alabaster,0,,0,,,,0,0,0,1,0,0,0,0
Alabone,0,,0,,,,0,0,0,1,0,0,0,0
Alahoge,0,,1,,,,0,0,1,1,0,0,0,0
Alain,0,,1,,,,0,0,1,1,0,0,0,0
Alais,0,,0,,,,0,0,0,1,0,0,0,0
Alan,0,,0,,,,0,0,0,1,0,0,0,0
Alan,0,,1,,,,0,0,1,1,0,0,0,0
Aland,0,,1,,,,0,0,0,1,0,0,0,0
Aland,0,,0,,,,0,0,0,1,0,0,0,0
Aland,0,,1,,,,0,0,1,1,0,0,0,0
Alaway,0,,0,,,,0,0,1,1,0,0,0,0
Alawy,0,,0,,,,0,0,1,1,0,0,0,0
Alayn,0,,1,,,,0,0,1,1,0,0,0,0
Alban,0,,0,,,,0,0,0,1,0,0,0,0
Albans,0,,0,,,,0,0,0,1,0,0,0,0
Albans,0,,0,,,,0,0,0,1,0,0,0,0
Albany,0,,0,,,,0,0,0,1,0,0,0,0
Albany,0,,0,,,,0,0,0,1,0,0,0,0
Albeneye,0,,1,,,,0,0,1,1,0,0,0,0
Alberd,0,,0,,,,0,0,1,1,1,0,0,0
Alberry,0,,0,,,,0,0,1,1,0,0,0,0
Alberry,0,,0,,,,0,0,0,1,0,0,0,0
Albert,0,,0,,,,0,0,1,1,1,0,0,0
Alberts,0,,0,,,,0,0,1,1,1,0,0,0
