hundred,combined_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,combined_treatment_1524,combined_treatment_1543,combined_treatment_1581,combined_treatment_1674,combined_control_1524,combined_control_1543,combined_control_1581,combined_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,combined_treatment_1840,combined_control_1840,avg_val_1840
South Molton,6585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.0,2.0,617.0,Maitland,0.0,0.0,309.5
South Molton,6627,,,,2.0,,,,1.0,,,,2.0,,,,Maning,,,,0.0,,,,0.0,,,,2.0,130.0,3.0,62.0,Manning,0.0,0.0,43.333333333333336
South Molton,6658,,5.0,,,,1.0,,,,5.0,,,,Marche,,,,0.0,,,,0.0,,,,5.0,,,,,,,,,
South Molton,6688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166700.0,330.0,13388.0,Morley,0.0,0.0,505.1515151515151
South Molton,6696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13187.0,39.0,1129.0,Marquis,0.0,0.0,338.12820512820514
South Molton,6706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.0,5.0,193.0,Marsh,0.0,0.0,104.4
South Molton,6720,,,3.0,4.0,,,1.0,3.0,,,3.0,2.0,,,Martin,Martin,,,0.0,0.0,,,0.0,0.0,,,3.0,1.3333333333333333,7141.0,24.0,792.0,Martin,0.0,0.0,297.5416666666667
South Molton,6738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45221.0,22.0,18639.0,Merson,0.0,0.0,2055.5
South Molton,6767,,3.0,1.0,,,1.0,1.0,,,3.0,1.0,,,Maunder,Maunder,,,0.0,0.0,,,0.0,0.0,,,3.0,1.0,,,,,,,,
South Molton,6785,,,,4.0,,,,2.0,,,,3.0,,,,Mayor,,,,0.0,,,,0.0,,,,2.0,,,,,,,
South Molton,6798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200886.0,349.0,11230.0,Clinton,0.0,0.0,575.6045845272206
South Molton,6818,,,,1.0,,,,1.0,,,,1.0,,,,Meek,,,,0.0,,,,0.0,,,,1.0,,,,,,,
South Molton,6829,,2.0,,,,1.0,,,,2.0,,,,Millett,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,
South Molton,6848,,,,1.0,,,,1.0,,,,1.0,,,,Merrick,,,,0.0,,,,0.0,,,,1.0,,,,,,,
