hundred,metaphone_id,tot_val_1524,tot_val_1543,tot_val_1581,tot_val_1674,count_1524,count_1543,count_1581,count_1674,max_val_1524,max_val_1543,max_val_1581,max_val_1674,surname_1524,surname_1543,surname_1581,surname_1674,metaphone_treatment_1524,metaphone_treatment_1543,metaphone_treatment_1581,metaphone_treatment_1674,metaphone_control_1524,metaphone_control_1543,metaphone_control_1581,metaphone_control_1674,avg_val_1524,avg_val_1543,avg_val_1581,avg_val_1674,tot_val_1840,count_1840,max_val_1840,surname_1840,metaphone_treatment_1840,metaphone_control_1840,avg_val_1840
Hartland,8189,,1.0,,,,1.0,,,,1.0,,,,Baslegh,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,
Hartland,8200,,14.0,,,,3.0,,,,7.0,,,,Hatherlegh,,,,0.0,,,,0.0,,,,4.666666666666667,,,,,,,,,
Hartland,8264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12101.0,31.0,1200.0,Jeffery,0.0,0.0,390.35483870967744
Hartland,8311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5128.0,18.0,665.0,Arthur,0.0,1.0,284.8888888888889
Hartland,8319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,20.0,Arnold,0.0,0.0,20.0
Hartland,8387,2.0,3.0,,,1.0,2.0,,,2.0,2.0,,,Estemounte,Estmont,,,0.0,0.0,,,0.0,0.0,,,2.0,1.5,,,,,,,,,
Hartland,8415,40.0,60.0,12.0,,2.0,1.0,1.0,,20.0,60.0,12.0,,Stapeldon,Stapledon,Stapledon,,0.0,0.0,0.0,,0.0,0.0,0.0,,20.0,60.0,12.0,,,,,,,,
Hartland,8416,,,,1.0,,,,1.0,,,,1.0,,,,Stanbery,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,8440,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,Rogerman,Rogerman,,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,,,,,,,
Hartland,8478,23.0,10.0,10.0,,2.0,3.0,1.0,,20.0,7.0,10.0,,Docton,Docton,Docton,,0.0,0.0,0.0,,0.0,0.0,0.0,,11.5,3.3333333333333335,10.0,,,,,,,,
Hartland,8506,1.0,,,,1.0,,,,1.0,,,,Hauxlond,,,,0.0,,,,0.0,,,,1.0,,,,,,,,,,
Hartland,8509,14.0,,,,2.0,,,,12.0,,,,Atkyng,,,,0.0,,,,0.0,,,,7.0,,,,,,,,,,
Hartland,8510,17.0,12.0,3.0,1.0,5.0,4.0,1.0,1.0,12.0,8.0,3.0,1.0,Husband,Husbond,Husband,Husband,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,3.0,3.0,1.0,,,,,,,
Hartland,8511,2.0,8.0,,,1.0,2.0,,,2.0,7.0,,,Bremlyche,Bremleche,,,0.0,0.0,,,0.0,0.0,,,2.0,4.0,,,,,,,,,
Hartland,8512,5.0,,,,1.0,,,,5.0,,,,Snellac,,,,0.0,,,,0.0,,,,5.0,,,,,,,,,,
Hartland,8513,2.0,,,,1.0,,,,2.0,,,,Crambers,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,,
Hartland,8573,,18.0,8.0,1.0,,1.0,1.0,1.0,,18.0,8.0,1.0,,Cholwyll,Cholwill,Cholwil,,0.0,0.0,0.0,,0.0,0.0,0.0,,18.0,8.0,1.0,,,,,,,
Hartland,8610,,10.0,,,,1.0,,,,10.0,,,,Snaylcocke,,,,0.0,,,,0.0,,,,10.0,,,,,,,,,
Hartland,8720,,2.0,,,,1.0,,,,2.0,,,,Huckmore,,,,0.0,,,,0.0,,,,2.0,,,,,,,,,
Hartland,9044,,5.0,4.0,1.0,,1.0,1.0,1.0,,5.0,4.0,1.0,,Moungey,Mungey,Monjoy,,0.0,0.0,0.0,,0.0,0.0,0.0,,5.0,4.0,1.0,,,,,,,
Hartland,9050,,10.0,,,,1.0,,,,10.0,,,,Hatherleght,,,,0.0,,,,0.0,,,,10.0,,,,,,,,,
Hartland,9051,,6.0,,,,1.0,,,,6.0,,,,Sampyn,,,,0.0,,,,0.0,,,,6.0,,,,,,,,,
Hartland,9200,,,8.0,,,,2.0,,,,5.0,,,,Lovibone,,,,0.0,,,,0.0,,,,4.0,,,,,,,,
Hartland,9223,,,1.0,,,,1.0,,,,1.0,,,,Warmenton,,,,0.0,,,,0.0,,,,1.0,,,,,,,,
Hartland,9385,,,,4.0,,,,1.0,,,,4.0,,,,Rowclift,,,,0.0,,,,0.0,,,,4.0,,,,,,,
Hartland,9431,,,,6.0,,,,1.0,,,,6.0,,,,Hamling,,,,0.0,,,,0.0,,,,6.0,,,,,,,
Hartland,9478,,,,1.0,,,,1.0,,,,1.0,,,,Scriggins,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,9513,,,,2.0,,,,1.0,,,,2.0,,,,Baglehorle,,,,0.0,,,,0.0,,,,2.0,,,,,,,
Hartland,9514,,,,1.0,,,,1.0,,,,1.0,,,,Davyman,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,9515,,,,20.0,,,,2.0,,,,17.0,,,,Littoroll,,,,0.0,,,,0.0,,,,10.0,,,,,,,
Hartland,9516,,,,1.0,,,,1.0,,,,1.0,,,,Hamblyn,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,9517,,,,1.0,,,,1.0,,,,1.0,,,,Withnidge,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,9518,,,,1.0,,,,1.0,,,,1.0,,,,Remros,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,9519,,,,1.0,,,,1.0,,,,1.0,,,,Husben,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,9520,,,,1.0,,,,1.0,,,,1.0,,,,Brincum,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,9521,,,,1.0,,,,1.0,,,,1.0,,,,Hockbridge,,,,0.0,,,,0.0,,,,1.0,,,,,,,
Hartland,9522,,,,3.0,,,,2.0,,,,2.0,,,,Mortis,,,,0.0,,,,0.0,,,,1.5,,,,,,,
Hartland,9740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11531.0,26.0,1668.0,Feoffees,0.0,0.0,443.5
