surname_id,surname,metaphone,soundex,mp_se,u_id
,Hornbrook,HRNPRK,H0651602,HRNPRK H0651602,12198.0
,Keever,KFR,K0106,KFR K0106,12199.0
,Wayford,AFRT,W01063,AFRT W01063,12200.0
,Hembrow,HMPR,H05160,HMPR H05160,12201.0
,Rodham,RTM,R0305,RTM R0305,12202.0
,Tinnimore,TNMR,T0505060,TNMR T0505060,12203.0
,Loram,LRM,L0605,LRM L0605,12204.0
,Dobbs,TPS,D012,TPS D012,12205.0
,Ayers,ARS,A062,ARS A062,12206.0
,Hardings,HRTNKS,H063052,HRTNKS H063052,12207.0
,Dolebeer,TLPR,D040106,TLPR D040106,12208.0
,Everley,AFRL,E10640,AFRL E10640,12209.0
,Haiger,HJR,H0206,HJR H0206,12210.0
,Dravin,TRFN,D60105,TRFN D60105,12211.0
,Dichton,TKTN,D020305,TKTN D020305,12212.0
,Merricks,MRKS,M0602,MRKS M0602,12213.0
,Yellands,ALNTS,Y040532,ALNTS Y040532,12214.0
,Trim,TRM,T605,TRM T605,12215.0
,Conry,KNR,C0560,KNR C0560,12216.0
,Burroughs,PRFS,B060202,PRFS B060202,12217.0
,Renwick,RNK,R0502,RNK R0502,12218.0
,Counick,KNK,C0502,KNK C0502,12219.0
,Hagland,HKLNT,H024053,HKLNT H024053,12220.0
,Bambury,PMPR,B051060,PMPR B051060,12221.0
,Mckno,MKN,M250,MKN M250,12222.0
,Oakes,AKS,O0202,AKS O0202,12223.0
,Pople,PPL,P0140,PPL P0140,12224.0
,Cammage,KMJ,C05020,KMJ C05020,12225.0
,Kieft,KFT,K013,KFT K013,12226.0
,Kiefl,KFL,K014,KFL K014,12227.0
,Rodolph,RTLF,R030410,RTLF R030410,12228.0
,Erwin,ARN,E605,ARN E605,12229.0
,Tiscombe,TSKMP,T020510,TSKMP T020510,12230.0
,Perrins,PRNS,P06052,PRNS P06052,12231.0
,Turpit,TRPT,T06103,TRPT T06103,12232.0
,Leatherby,L0RP,L030610,L0RP L030610,12233.0
,Irvin,ARFN,I6105,ARFN I6105,12234.0
,Furbit,FRPT,F06103,FRPT F06103,12235.0
,Skefford,SKFRT,S201063,SKFRT S201063,12236.0
,Pendle,PNTL,P05340,PNTL P05340,12237.0
,Slocumb,SLKM,S402051,SLKM S402051,12238.0
,Monro,MNR,M0560,MNR M0560,12239.0
,Trayer,TRR,T606,TRR T606,12240.0
,Hingwell,HNKL,H05204,HNKL H05204,12241.0
,Pheremon,FRMN,P060505,FRMN P060505,12242.0
,Husses,HSS,H0202,HSS H0202,12243.0
